gene1	YAL001C
gene173	YBR024W
gene174	YBR025C
gene175	YBR026C
gene176	YBR028C
gene177	YBR029C
gene178	YBR031W
gene179	YBR032W
gene180	YBR034C
gene181	YBR035C
gene182	YBR036C
gene183	YBR037C
gene184	YBR038W
gene185	YBR046C
gene186	YBR047W
gene187	YBR048W
gene188	YBR050C
gene189	YBR051W
gene190	YBR052C
gene191	YBR053C
gene192	YBR054W
gene193	YBR055C
gene194	YBR056W
gene195	YBR060C
gene196	YBR061C
gene197	YBR063C
gene198	YBR064W
gene199	YBR065C
gene200	YBR066C
gene201	YBR067C
gene202	YBR070C
gene203	YBR071W
gene204	YBR072W
gene205	YBR073W
gene206	YBR075W
gene207	YBR076W
gene208	YBR078W
gene209	YBR079C
gene210	YBR081C
gene211	YBR082C
gene212	YBR083W
gene213	YBR084C-A
gene214	YBR084W
gene215	YBR085W
gene216	YBR087W
gene217	YBR088C
gene218	YBR089W
gene219	YBR090C
gene220	YBR092C
gene221	YBR093C
gene222	YBR094W
gene223	YBR096W
gene224	YBR099C
gene225	YBR100W
gene226	YBR101C
gene227	YBR102C
gene228	YBR105C
gene229	YBR106W
gene230	YBR107C
gene231	YBR108W
gene232	YBR109C
gene233	YBR110W
gene234	YBR111C
gene235	YBR112C
gene236	YBR113W
gene237	YBR114W
gene238	YBR116C
gene239	YBR118W
gene240	YBR120C
gene241	YBR121C
gene242	YBR122C
gene243	YBR123C
gene244	YBR124W
gene245	YBR126C
gene246	YBR127C
gene247	YBR133C
gene248	YBR137W
gene249	YBR138C
gene250	YBR139W
gene251	YBR140C
gene252	YBR142W
gene253	YBR143C
gene254	YBR145W
gene255	YBR147W
gene256	YBR152W
gene257	YBR153W
gene258	YBR154C
gene259	YBR155W
gene260	YBR156C
gene261	YBR157C
gene262	YBR158W
gene263	YBR160W
gene264	YBR161W
gene265	YBR162C
gene266	YBR162W-A
gene267	YBR164C
gene268	YBR168W
gene269	YBR169C
gene270	YBR171W
gene271	YBR172C
gene272	YBR173C
gene273	YBR174C
gene274	YBR176W
gene275	YBR180W
gene276	YBR181C
gene277	YBR182C
gene278	YBR183W
gene279	YBR184W
gene280	YBR187W
gene281	YBR188C
gene282	YBR189W
gene283	YBR190W
gene284	YBR191W
gene285	YBR195C
gene286	YBR196C
gene287	YBR197C
gene288	YBR198C
gene289	YBR200W
gene290	YBR201W
gene291	YBR202W
gene292	YBR205W
gene293	YBR206W
gene294	YBR208C
gene295	YBR210W
gene296	YBR213W
gene297	YBR214W
gene298	YBR216C
gene299	YBR218C
gene300	YBR220C
gene301	YBR223C
gene302	YBR228W
gene303	YBR229C
gene304	YBR230C
gene305	YBR231C
gene306	YBR233W
gene307	YBR237W
gene308	YBR238C
gene309	YBR240C
gene310	YBR243C
gene311	YBR244W
gene312	YBR245C
gene313	YBR250W
gene314	YBR257W
gene315	YBR258C
gene316	YBR262C
gene317	YBR263W
gene318	YBR266C
gene319	YBR267W
gene320	YBR268W
gene321	YBR269C
gene322	YBR270C
gene323	YBR272C
gene324	YBR275C
gene325	YBR279W
gene326	YBR283C
gene327	YBR284W
gene328	YBR285W
gene329	YBR289W
gene330	YBR290W
gene331	YBR292C
gene332	YBR293W
gene333	YBR295W
gene334	YBR296C
gene335	YBR297W
gene336	YBR298C
gene337	YBR299W
gene338	YBR302C
gene339	YCL002C
gene340	YCL003W
gene341	YCL007C
gene342	YCL008C
gene343	YCL011C
gene344	YCL012W
gene345	YCL013W
gene346	YCL014W
gene347	YCL016C
gene348	YCL018W
gene349	YCL019W
gene350	YCL020W
gene351	YCL021W
gene352	YCL022C
gene353	YCL024W
gene354	YCL025C
gene355	YCL026C-A
gene356	YCL027W
gene357	YCL030C
gene358	YCL031C
gene359	YCL032W
gene360	YCL033C
gene361	YCL034W
gene362	YCL038C
gene363	YCL040W
gene364	YCL041C
gene365	YCL042W
gene366	YCL046W
gene367	YCL047C
gene368	YCL048W
gene369	YCL052C
gene370	YCL053C
gene371	YCL054W
gene372	YCL055W
gene373	YCL056C
gene374	YCL057W
gene375	YCL058C
gene376	YCL059C
gene377	YCL060C
gene378	YCL061C
gene379	YCL063W
gene380	YCL066W
gene381	YCL073C
gene382	YCLX01W
gene383	YCLX06C
gene384	YCLX09W
gene385	YCLX10C
gene386	YCLX11W
gene387	YCLX12W
gene388	YCR001W
gene389	YCR005C
gene390	YCR007C
gene391	YCR008W
gene392	YCR011C
gene393	YCR012W
gene394	YCR013C
gene395	YCR014C
gene396	YCR015C
gene397	YCR018C
gene398	YCR021C
gene399	YCR022C
gene400	YCR024C
gene401	YCR025C
gene402	YCR028C
gene403	YCR029C
gene404	YCR031C
gene405	YCR032W
gene406	YCR034W
gene407	YCR036W
gene408	YCR037C
gene409	YCR038C
gene410	YCR041W
gene411	YCR042C
gene412	YCR043C
gene413	YCR044C
gene414	YCR047C
gene415	YCR049C
gene416	YCR051W
gene417	YCR056W
gene418	YCR057C
gene419	YCR058C
gene420	YCR059C
gene421	YCR060W
gene422	YCR061W
gene423	YCR062W
gene424	YCR063W
gene425	YCR065W
gene426	YCR066W
gene427	YCR072C
gene428	YCR073C
gene429	YCR074C
gene430	YCR075C
gene431	YCR079W
gene432	YCR081W
gene433	YCR083W
gene434	YCR085W
gene435	YCR086W
gene436	YCR087W
gene437	YCR090C
gene438	YCR091W
gene439	YCR094W
gene440	YCR096C
gene441	YCR098C
gene442	YCR099C
gene443	YCR102C
gene444	YCR107W
gene445	YCRX07W
gene446	YCRX15W
gene447	YCRX16C
gene448	YDL002C
gene449	YDL003W
gene450	YDL004W
gene451	YDL006W
gene452	YDL008W
gene453	YDL009C
gene454	YDL010W
gene455	YDL011C
gene456	YDL012C
gene457	YDL013W
gene458	YDL018C
gene459	YDL021W
gene460	YDL022W
gene461	YDL023C
gene462	YDL025C
gene463	YDL027C
gene464	YDL030W
gene465	YDL031W
gene466	YDL034W
gene467	YDL035C
gene468	YDL038C
gene469	YDL039C
gene470	YDL042C
gene471	YDL043C
gene472	YDL045C
gene473	YDL047W
gene474	YDL048C
gene475	YDL051W
gene476	YDL055C
gene477	YDL057W
gene478	YDL058W
gene479	YDL059C
gene480	YDL061C
gene481	YDL062W
gene482	YDL063C
gene483	YDL069C
gene484	YDL070W
gene485	YDL071C
gene486	YDL075W
gene487	YDL076C
gene488	YDL077C
gene489	YDL079C
gene490	YDL081C
gene491	YDL082W
gene492	YDL083C
gene493	YDL086W
gene494	YDL092W
gene495	YDL093W
gene496	YDL096C
gene497	YDL098C
gene498	YDL099W
gene499	YDL102W
gene500	YDL103C
gene501	YDL105W
gene502	YDL109C
gene503	YDL110C
gene504	YDL113C
gene505	YDL116W
gene506	YDL118W
gene507	YDL119C
gene508	YDL124W
gene509	YDL127W
gene510	YDL129W
gene511	YDL130W
gene512	YDL136W
gene513	YDL140C
gene514	YDL141W
gene515	YDL142C
gene516	YDL143W
gene517	YDL146W
gene518	YDL150W
gene519	YDL151C
gene520	YDL152W
gene521	YDL153C
gene522	YDL154W
gene523	YDL156W
gene524	YDL157C
gene525	YDL158C
gene526	YDL160C
gene527	YDL164C
gene528	YDL166C
gene529	YDL167C
gene530	YDL168W
gene531	YDL169C
gene532	YDL174C
gene533	YDL175C
gene534	YDL179W
gene535	YDL181W
gene536	YDL182W
gene537	YDL186W
gene538	YDL187C
gene539	YDL189W
gene540	YDL191W
gene541	YDL192W
gene542	YDL197C
gene543	YDL198C
gene544	YDL199C
gene545	YDL202W
gene546	YDL204W
gene547	YDL205C
gene548	YDL206W
gene549	YDL208W
gene550	YDL210W
gene551	YDL211C
gene552	YDL215C
gene553	YDL216C
gene554	YDL219W
gene555	YDL221W
gene556	YDL222C
gene557	YDL227C
gene558	YDL228C
gene559	YDL229W
gene560	YDL230W
gene561	YDL231C
gene562	YDL232W
gene563	YDL233W
gene564	YDL234C
gene565	YDL239C
gene566	YDL240W
gene567	YDL242W
gene568	YDL243C
gene569	YDL244W
gene570	YDL245C
gene571	YDL246C
gene572	YDL247W
gene573	YDL248W
gene574	YDR004W
gene575	YDR006C
gene576	YDR009W
gene577	YDR011W
gene578	YDR012W
gene579	YDR013W
gene580	YDR014W
gene581	YDR016C
gene582	YDR017C
gene583	YDR018C
gene584	YDR019C
gene585	YDR020C
gene586	YDR022C
gene587	YDR025W
gene588	YDR029W
gene589	YDR033W
gene590	YDR035W
gene591	YDR038C
gene592	YDR039C
gene593	YDR042C
gene594	YDR044W
gene595	YDR045C
gene596	YDR046C
gene597	YDR048C
gene598	YDR050C
gene599	YDR055W
gene600	YDR057W
gene601	YDR058C
gene602	YDR059C
gene603	YDR060W
gene604	YDR064W
gene605	YDR065W
gene606	YDR070C
gene607	YDR071C
gene608	YDR074W
gene609	YDR076W
gene610	YDR079W
gene611	YDR080W
gene612	YDR082W
gene613	YDR083W
gene614	YDR085C
gene615	YDR091C
gene616	YDR094W
gene617	YDR097C
gene618	YDR098C
gene619	YDR103W
gene620	YDR104C
gene621	YDR105C
gene622	YDR108W
gene623	YDR109C
gene624	YDR111C
gene625	YDR112W
gene626	YDR113C
gene627	YDR114C
gene628	YDR116C
gene629	YDR118W
gene630	YDR120C
gene631	YDR121W
gene632	YDR122W
gene633	YDR126W
gene634	YDR130C
gene635	YDR132C
gene636	YDR133C
gene637	YDR134C
gene638	YDR141C
gene639	YDR142C
gene640	YDR143C
gene641	YDR146C
gene642	YDR148C
gene643	YDR149C
gene644	YDR150W
gene645	YDR151C
gene646	YDR152W
gene647	YDR154C
gene648	YDR155C
gene649	YDR156W
gene650	YDR157W
gene651	YDR158W
gene652	YDR160W
gene653	YDR162C
gene654	YDR165W
gene655	YDR168W
gene656	YDR169C
gene657	YDR170C
gene658	YDR171W
gene659	YDR172W
gene660	YDR173C
gene661	YDR178W
gene662	YDR180W
gene663	YDR181C
gene664	YDR183W
gene665	YDR184C
gene666	YDR185C
gene667	YDR187C
gene668	YDR188W
gene669	YDR191W
gene670	YDR193W
gene671	YDR194C
gene672	YDR195W
gene673	YDR197W
gene674	YDR198C
gene675	YDR202C
gene676	YDR203W
gene677	YDR204W
gene678	YDR206W
gene679	YDR207C
gene680	YDR210W
gene681	YDR211W
gene682	YDR212W
gene683	YDR213W
gene684	YDR214W
gene685	YDR216W
gene686	YDR218C
gene687	YDR219C
gene688	YDR222W
gene689	YDR223W
gene690	YDR224C
gene691	YDR225W
gene692	YDR227W
gene693	YDR230W
gene694	YDR231C
gene695	YDR234W
gene696	YDR235W
gene697	YDR236C
gene698	YDR240C
gene699	YDR241W
gene700	YDR244W
gene701	YDR246W
gene702	YDR247W
gene703	YDR249C
gene704	YDR252W
gene705	YDR253C
gene706	YDR254W
gene707	YDR255C
gene708	YDR256C
gene709	YDR257C
gene710	YDR258C
gene711	YDR259C
gene712	YDR260C
gene713	YDR262W
gene714	YDR263C
gene715	YDR270W
gene716	YDR271C
gene717	YDR272W
gene718	YDR273W
gene719	YDR274C
gene720	YDR275W
gene721	YDR276C
gene722	YDR277C
gene723	YDR279W
gene724	YDR281C
gene725	YDR282C
gene726	YDR284C
gene727	YDR286C
gene728	YDR287W
gene729	YDR288W
gene730	YDR289C
gene731	YDR294C
gene732	YDR295C
gene733	YDR296W
gene734	YDR297W
gene735	YDR299W
gene736	YDR300C
gene737	YDR301W
gene738	YDR302W
gene739	YDR305C
gene740	YDR309C
gene741	YDR311W
gene742	YDR312W
gene743	YDR313C
gene744	YDR314C
gene745	YDR316W
gene746	YDR321W
gene747	YDR322W
gene748	YDR323C
gene749	YDR324C
gene750	YDR325W
gene751	YDR326C
gene752	YDR327W
gene753	YDR329C
gene754	YDR330W
gene755	YDR331W
gene756	YDR336W
gene757	YDR337W
gene758	YDR338C
gene759	YDR339C
gene760	YDR342C
gene761	YDR343C
gene762	YDR345C
gene763	YDR347W
gene764	YDR350C
gene765	YDR351W
gene766	YDR352W
gene767	YDR353W
gene768	YDR356W
gene769	YDR357C
gene770	YDR358W
gene771	YDR361C
gene772	YDR362C
gene773	YDR363W
gene774	YDR364C
gene775	YDR365C
gene776	YDR366C
gene777	YDR369C
gene778	YDR371W
gene779	YDR373W
gene780	YDR374C
gene781	YDR375C
gene782	YDR378C
gene783	YDR379W
gene784	YDR380W
gene785	YDR381W
gene786	YDR382W
gene787	YDR383C
gene788	YDR384C
gene789	YDR385W
gene790	YDR386W
gene791	YDR387C
gene792	YDR388W
gene793	YDR389W
gene794	YDR390C
gene795	YDR391C
gene796	YDR392W
gene797	YDR394W
gene798	YDR400W
gene799	YDR401W
gene800	YDR403W
gene801	YDR405W
gene802	YDR409W
gene803	YDR411C
gene804	YDR413C
gene805	YDR414C
gene806	YDR415C
gene807	YDR416W
gene808	YDR417C
gene809	YDR418W
gene810	YDR419W
gene811	YDR421W
gene812	YDR423C
gene813	YDR424C
gene814	YDR425W
gene815	YDR428C
gene816	YDR430C
gene817	YDR432W
gene818	YDR433W
gene819	YDR435C
gene820	YDR436W
gene821	YDR438W
gene822	YDR440W
gene823	YDR441C
gene824	YDR443C
gene825	YDR444W
gene826	YDR447C
gene827	YDR448W
gene828	YDR449C
gene829	YDR450W
gene830	YDR451C
gene831	YDR453C
gene832	YDR456W
gene833	YDR457W
gene834	YDR461W
gene835	YDR464W
gene836	YDR465C
gene837	YDR466W
gene838	YDR469W
gene839	YDR470C
gene840	YDR471W
gene841	YDR473C
gene842	YDR476C
gene843	YDR477W
gene844	YDR478W
gene845	YDR479C
gene846	YDR485C
gene847	YDR487C
gene848	YDR488C
gene849	YDR489W
gene850	YDR490C
gene851	YDR491C
gene852	YDR492W
gene853	YDR493W
gene854	YDR494W
gene855	YDR495C
gene856	YDR499W
gene857	YDR500C
gene858	YDR501W
gene859	YDR503C
gene860	YDR504C
gene861	YDR505C
gene862	YDR506C
gene863	YDR507C
gene864	YDR511W
gene865	YDR512C
gene866	YDR513W
gene867	YDR514C
gene868	YDR516C
gene869	YDR517W
gene870	YDR518W
gene871	YDR519W
gene872	YDR521W
gene873	YDR523C
gene874	YDR524C
gene875	YDR525W
gene876	YDR526C
gene877	YDR527W
gene878	YDR528W
gene879	YDR529C
gene880	YDR530C
gene881	YDR531W
gene882	YDR532C
gene883	YDR537C
gene884	YDR538W
gene885	YDR539W
gene886	YDR540C
gene887	YDR541C
gene888	YDR542W
gene889	YDR543C
gene890	YDR544C
gene891	YDR545W
gene892	YEL003W
gene893	YEL004W
gene894	YEL005C
gene895	YEL006W
gene896	YEL007W
gene897	YEL011W
gene898	YEL015W
gene899	YEL016C
gene900	YEL017W
gene901	YEL018W
gene902	YEL021W
gene903	YEL023C
gene904	YEL024W
gene905	YEL025C
gene906	YEL026W
gene907	YEL032W
gene908	YEL034W
gene909	YEL037C
gene910	YEL039C
gene911	YEL042W
gene912	YEL043W
gene913	YEL046C
gene914	YEL047C
gene915	YEL048C
gene916	YEL051W
gene917	YEL052W
gene918	YEL053C
gene919	YEL055C
gene920	YEL056W
gene921	YEL057C
gene922	YEL061C
gene923	YEL062W
gene924	YEL064C
gene925	YEL065W
gene926	YEL070W
gene927	YEL072W
gene928	YEL073C
gene929	YEL074W
gene930	YEL076C
gene931	YEL077C
gene932	YER001W
gene933	YER003C
gene934	YER005W
gene935	YER007W
gene936	YER009W
gene937	YER011W
gene938	YER012W
gene939	YER014W
gene940	YER016W
gene941	YER017C
gene942	YER018C
gene943	YER019W
gene944	YER020W
gene945	YER022W
gene946	YER028C
gene947	YER032W
gene948	YER033C
gene949	YER034W
gene950	YER042W
gene951	YER047C
gene952	YER053C
gene953	YER054C
gene954	YER056C
gene955	YER058W
gene956	YER060W
gene957	YER062C
gene958	YER064C
gene959	YER065C
gene960	YER067W
gene961	YER068W
gene962	YER069W
gene963	YER070W
gene964	YER071C
gene965	YER074W
gene966	YER075C
gene967	YER079W
gene968	YER081W
gene969	YER082C
gene970	YER083C
gene971	YER084W
gene972	YER093C
gene973	YER095W
gene974	YER096W
gene975	YER099C
gene976	YER102W
gene977	YER103W
gene978	YER104W
gene979	YER105C
gene980	YER107C
gene981	YER111C
gene982	YER113C
gene983	YER114C
gene984	YER117W
gene985	YER118C
gene986	YER119C
gene987	YER121W
gene988	YER123W
gene989	YER124C
gene990	YER128W
gene991	YER129W
gene992	YER131W
gene993	YER132C
gene994	YER137C
gene995	YER138C
gene996	YER139C
gene997	YER140W
gene998	YER141W
gene999	YER142C
gene1000	YER143W
gene1001	YER147C
gene1002	YER148W
gene1003	YER150W
gene1004	YER152C
gene1005	YER155C
gene1006	YER160C
gene1007	YER166W
gene1008	YER168C
gene1009	YER170W
gene1010	YER171W
gene1011	YER172C
gene1012	YER174C
gene1013	YER175C
gene1014	YER179W
gene1015	YER187W
gene1016	YER188W
gene1017	YER189W
gene1018	YER190W
gene1019	YFL001W
gene1020	YFL005W
gene1021	YFL006W
gene1022	YFL007W
gene1023	YFL008W
gene1024	YFL014W
gene1025	YFL016C
gene1026	YFL018C
gene1027	YFL022C
gene1028	YFL030W
gene1029	YFL032W
gene1030	YFL036W
gene1031	YFL039C
gene1032	YFL043C
gene1033	YFL044C
gene1034	YFL048C
gene1035	YFL054C
gene1036	YFL056C
gene1037	YFL057C
gene1038	YFL058W
gene1039	YFL059W
gene1040	YFL060C
gene1041	YFL064C
gene1042	YFL065C
gene1043	YFL067W
gene1044	YFR003C
gene1045	YFR008W
gene1046	YFR015C
gene1047	YFR017C
gene1048	YFR019W
gene1049	YFR020W
gene1050	YFR023W
gene1051	YFR024C
gene1052	YFR026C
gene1053	YFR027W
gene1054	YFR030W
gene1055	YFR032C
gene1056	YFR035C
gene1057	YFR041C
gene1058	YFR053C
gene1059	YFR055W
gene1060	YFR056C
gene1061	YGL006W
gene1062	YGL010W
gene1063	YGL013C
gene1064	YGL016W
gene1065	YGL021W
gene1066	YGL025C
gene1067	YGL028C
gene1068	YGL032C
gene1069	YGL037C
gene1070	YGL039W
gene1071	YGL053W
gene1072	YGL055W
gene1073	YGL060W
gene1074	YGL061C
gene1075	YGL062W
gene1076	YGL063W
gene1077	YGL075C
gene1078	YGL081W
gene1079	YGL085W
gene1080	YGL088W
gene1081	YGL089C
gene1082	YGL090W
gene1083	YGL093W
gene1084	YGL096W
gene1085	YGL099W
gene1086	YGL101W
gene1087	YGL102C
gene1088	YGL104C
gene1089	YGL106W
gene1090	YGL112C
gene1091	YGL116W
gene1092	YGL117W
gene1093	YGL121C
gene1094	YGL125W
gene1095	YGL126W
gene1096	YGL127C
gene1097	YGL128C
gene1098	YGL129C
gene1099	YGL130W
gene1100	YGL131C
gene1101	YGL141W
gene1102	YGL144C
gene1103	YGL151W
gene1104	YGL155W
gene1105	YGL156W
gene1106	YGL160W
gene1107	YGL166W
gene1108	YGL170C
gene1109	YGL179C
gene1110	YGL181W
gene1111	YGL184C
gene1112	YGL187C
gene1113	YGL188C
gene1114	YGL196W
gene1115	YGL197W
gene1116	YGL201C
gene1117	YGL204C
gene1118	YGL208W
gene1119	YGL209W
gene1120	YGL211W
gene1121	YGL214W
gene1122	YGL218W
gene1123	YGL219C
gene1124	YGL227W
gene1125	YGL229C
gene1126	YGL230C
gene1127	YGL232W
gene1128	YGL234W
gene1129	YGL236C
gene1130	YGL246C
gene1131	YGL248W
gene1132	YGL249W
gene1133	YGL250W
gene1134	YGL255W
gene1135	YGL262W
gene1136	YGR002C
gene1137	YGR008C
gene1138	YGR010W
gene1139	YGR014W
gene1140	YGR019W
gene1141	YGR023W
gene1142	YGR029W
gene1143	YGR032W
gene1144	YGR035C
gene1145	YGR039W
gene1146	YGR041W
gene1147	YGR042W
gene1148	YGR043C
gene1149	YGR044C
gene1150	YGR049W
gene1151	YGR053C
gene1152	YGR055W
gene1153	YGR058W
gene1154	YGR065C
gene1155	YGR068C
gene1156	YGR070W
gene1157	YGR082W
gene1158	YGR083C
gene1159	YGR088W
gene1160	YGR089W
gene1161	YGR090W
gene1162	YGR092W
gene1163	YGR098C
gene1164	YGR099W
gene1165	YGR100W
gene1166	YGR104C
gene1167	YGR105W
gene1168	YGR108W
gene1169	YGR109C
gene1170	YGR112W
gene1171	YGR113W
gene1172	YGR114C
gene1173	YGR118W
gene1174	YGR122W
gene1175	YGR129W
gene1176	YGR131W
gene1177	YGR138C
gene1178	YGR140W
gene1179	YGR142W
gene1180	YGR143W
gene1181	YGR146C
gene1182	YGR149W
gene1183	YGR150C
gene1184	YGR151C
gene1185	YGR152C
gene1186	YGR153W
gene1187	YGR154C
gene1188	YGR159C
gene1189	YGR162W
gene1190	YGR164W
gene1191	YGR169C
gene1192	YGR180C
gene1193	YGR187C
gene1194	YGR188C
gene1195	YGR189C
gene1196	YGR190C
gene1197	YGR194C
gene1198	YGR197C
gene1199	YGR200C
gene1200	YGR206W
gene1201	YGR207C
gene1202	YGR212W
gene1203	YGR214W
gene1204	YGR216C
gene1205	YGR221C
gene1206	YGR230W
gene1207	YGR238C
gene1208	YGR239C
gene1209	YGR243W
gene1210	YGR245C
gene1211	YGR249W
gene1212	YGR259C
gene1213	YGR263C
gene1214	YGR265W
gene1215	YGR268C
gene1216	YGR271W
gene1217	YGR275W
gene1218	YGR286C
gene1219	YGR288W
gene1220	YGR289C
gene1221	YHL001W
gene1222	YHL007C
gene1223	YHL013C
gene1224	YHL017W
gene1225	YHL021C
gene1226	YHL023C
gene1227	YHL024W
gene1228	YHL026C
gene1229	YHL028W
gene1230	YHL035C
gene1231	YHL036W
gene1232	YHL039W
gene1233	YHL042W
gene1234	YHL043W
gene1235	YHL044W
gene1236	YHL049C
gene1237	YHR001W
gene1238	YHR002W
gene1239	YHR004C
gene1240	YHR005C
gene1241	YHR009C
gene1242	YHR012W
gene1243	YHR013C
gene1244	YHR014W
gene1245	YHR015W
gene1246	YHR016C
gene1247	YHR018C
gene1248	YHR022C
gene1249	YHR023W
gene1250	YHR029C
gene1251	YHR031C
gene1252	YHR037W
gene1253	YHR039C
gene1254	YHR041C
gene1255	YHR044C
gene1256	YHR048W
gene1257	YHR049C-A
gene1258	YHR050W
gene1259	YHR061C
gene1260	YHR062C
gene1261	YHR067W
gene1262	YHR069C
gene1263	YHR073W
gene1264	YHR079C
gene1265	YHR079C-A
gene1266	YHR086W
gene1267	YHR092C
gene1268	YHR094C
gene1269	YHR097C
gene1270	YHR099W
gene1271	YHR101C
gene1272	YHR102W
gene1273	YHR104W
gene1274	YHR110W
gene1275	YHR111W
gene1276	YHR112C
gene1277	YHR113W
gene1278	YHR123W
gene1279	YHR129C
gene1280	YHR136C
gene1281	YHR137W
gene1282	YHR141C
gene1283	YHR143W
gene1284	YHR147C
gene1285	YHR151C
gene1286	YHR153C
gene1287	YHR154W
gene1288	YHR157W
gene1289	YHR159W
gene1290	YHR160C
gene1291	YHR161C
gene1292	YHR171W
gene1293	YHR172W
gene1294	YHR173C
gene1295	YHR177W
gene1296	YHR178W
gene1297	YHR180W
gene1298	YHR186C
gene1299	YHR191C
gene1300	YHR192W
gene1301	YHR201C
gene1302	YHR202W
gene1303	YHR209W
gene1304	YHR210C
gene1305	YHR214C-B
gene1306	YHR214W
gene1307	YHR215W
gene1308	YHR218W
gene1309	YIL003W
gene1310	YIL004C
gene1311	YIL006W
gene1312	YIL007C
gene1313	YIL009W
gene1314	YIL011W
gene1315	YIL013C
gene1316	YIL015C-A
gene1317	YIL015W
gene1318	YIL016W
gene1319	YIL019W
gene1320	YIL022W
gene1321	YIL026C
gene1322	YIL027C
gene1323	YIL032C
gene1324	YIL041W
gene1325	YIL045W
gene1326	YIL055C
gene1327	YIL068C
gene1328	YIL069C
gene1329	YIL086C
gene1330	YIL087C
gene1331	YIL089W
gene1332	YIL092W
gene1333	YIL093C
gene1334	YIL097W
gene1335	YIL100W
gene1336	YIL105C
gene1337	YIL106W
gene1338	YIL107C
gene1339	YIL111W
gene1340	YIL113W
gene1341	YIL117C
gene1342	YIL119C
gene1343	YIL120W
gene1344	YIL121W
gene1345	YIL122W
gene1346	YIL124W
gene1347	YIL125W
gene1348	YIL131C
gene1349	YIL132C
gene1350	YIL136W
gene1351	YIL140W
gene1352	YIL144W
gene1353	YIL145C
gene1354	YIL146C
gene1355	YIL150C
gene1356	YIL153W
gene1357	YIL155C
gene1358	YIL156W
gene1359	YIL157C
gene1360	YIL158W
gene1361	YIL159W
gene1362	YIL162W
gene1363	YIL163C
gene1364	YIL167W
gene1365	YIL169C
gene1366	YIL170W
gene1367	YIL171W
