2884 17
probeset	cond0	cond1	cond2	cond3	cond4	cond5	cond6	cond7	cond8	cond9	cond10	cond11	cond12	cond13	cond14	cond15	cond16
gene56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
gene57	179	208	240	208	161	195	195	179	195	110	195	208	230	139	179	161	139
gene58	208	256	350	283	220	208	208	179	220	264	304	304	300	264	220	179	208
gene59	179	264	333	283	230	208	208	179	220	220	277	271	304	230	208	139	179
gene60	409	381	417	385	447	374	430	401	374	450	423	409	381	404	443	404	475
gene61	395	343	356	358	374	322	371	366	340	314	371	356	361	385	389	347	430
gene62	240	208	240	230	256	208	240	230	230	195	208	230	248	195	208	161	195
gene63	300	283	322	330	340	300	318	309	283	264	264	283	294	277	289	271	289
gene64	220	179	161	195	195	195	289	347	343	230	248	230	220	161	220	240	277
gene65	179	110	110	139	139	69	110	161	139	110	139	139	139	69	110	69	110
gene66	240	208	248	240	248	208	248	240	220	304	256	264	248	240	256	208	240
gene67	220	195	195	195	179	179	220	195	195	139	161	161	195	179	195	139	139
gene68	179	139	139	110	161	110	139	110	110	69	110	110	139	69	69	69	69
gene69	69	0	110	110	161	110	139	110	110	110	69	110	69	69	69	69	0
gene70	195	139	139	139	139	110	195	179	179	110	161	161	195	139	161	110	139
gene71	69	69	110	69	139	139	110	139	110	69	69	110	69	0	0	0	69
gene72	240	220	230	195	195	195	220	161	195	161	161	179	195	179	195	139	139
gene73	110	0	69	0	69	69	110	0	110	69	110	139	69	69	69	0	69
gene74	110	0	69	0	69	69	110	110	110	0	69	69	110	69	69	69	69
gene75	179	110	179	139	179	161	195	179	161	161	208	220	208	179	161	110	161
gene76	139	69	139	139	110	69	139	110	110	69	161	139	179	110	110	69	69
gene77	139	110	110	110	110	69	110	110	110	69	110	69	110	69	110	0	69
gene78	139	139	69	110	69	69	110	110	69	0	0	69	69	0	69	0	69
gene79	264	371	378	347	340	300	389	419	409	474	437	425	403	414	450	428	454
gene80	139	161	208	161	161	161	208	179	179	161	139	179	179	110	195	110	179
gene81	208	230	283	240	208	230	264	230	230	271	230	240	248	240	256	220	256
gene82	391	389	411	366	369	353	389	369	358	385	358	361	353	366	378	347	383
gene83	248	294	399	438	451	364	366	358	322	314	403	447	436	426	411	399	353
gene84	343	314	409	426	455	366	401	376	347	350	403	430	409	413	443	397	369
gene85	289	343	326	294	350	326	347	347	333	277	289	289	326	304	304	283	300
gene86	326	340	314	289	289	264	277	283	283	240	248	256	277	264	277	277	277
gene87	304	309	289	289	330	283	309	326	309	289	304	318	314	318	322	300	326
gene88	139	139	161	110	139	139	110	161	139	69	110	110	139	69	110	69	69
gene89	110	139	208	208	195	220	230	195	195	110	139	161	220	139	161	139	110
gene90	110	139	195	139	110	139	110	139	139	110	139	161	161	110	69	110	69
gene91	294	304	264	271	309	283	304	294	289	240	264	271	289	277	277	271	256
gene92	304	240	256	283	309	277	256	271	283	264	283	289	294	264	256	248	271
gene93	283	240	248	256	277	248	264	277	264	230	248	256	264	240	240	220	256
gene94	322	326	347	330	337	300	333	326	309	277	277	294	314	289	314	264	283
gene95	110	179	195	139	110	139	179	230	240	161	179	161	161	110	139	161	179
gene96	314	364	383	330	347	343	378	353	343	340	326	326	337	356	333	322	333
gene97	220	139	161	161	195	179	195	208	195	110	161	195	208	179	161	161	161
gene98	381	337	333	343	389	353	374	366	347	326	330	347	350	337	364	333	340
gene99	441	403	453	411	476	393	441	428	401	535	461	467	403	447	465	406	469
gene100	314	318	333	314	350	309	347	340	322	330	304	337	322	333	353	309	350
gene101	350	318	343	337	361	337	366	361	356	404	369	369	364	347	391	356	383
gene102	0	0	110	139	110	110	69	69	69	0	69	110	161	69	0	0	0
gene103	230	248	230	256	322	300	322	304	277	220	230	264	289	283	294	271	256
gene104	195	220	264	230	240	264	230	230	208	161	208	208	240	179	179	179	161
gene105	179	256	309	220	195	195	179	139	161	220	264	240	220	195	161	139	139
gene106	289	326	340	289	300	314	356	330	326	318	309	314	314	326	330	304	330
gene107	139	0	69	110	195	179	179	161	179	0	139	161	179	139	139	110	139
gene108	364	304	309	309	381	337	356	340	340	364	378	385	356	364	356	340	376
gene109	378	366	397	378	411	366	406	393	374	364	366	371	371	371	387	358	364
gene110	350	289	330	340	326	304	350	318	326	304	326	330	347	318	353	289	304
gene111	381	337	340	322	371	340	369	361	358	371	364	369	353	337	364	343	369
gene112	358	326	294	314	343	314	353	353	353	314	309	322	353	322	343	322	330
gene113	230	161	110	161	208	195	220	240	240	220	240	248	283	264	294	300	294
gene114	220	240	289	248	248	248	240	230	230	195	240	230	248	220	208	208	179
gene115	264	240	179	110	69	139	161	110	139	69	110	69	110	110	110	69	69
gene116	240	208	161	69	69	110	139	110	110	0	69	69	110	110	110	110	69
gene117	343	256	289	277	333	294	322	326	322	318	333	343	318	304	304	300	340
gene118	179	139	139	195	240	230	248	240	220	139	161	208	240	208	220	195	195
gene119	240	195	195	248	264	256	294	248	248	195	208	230	271	256	289	240	195
gene120	361	389	381	369	395	366	393	374	353	314	322	337	337	318	340	304	322
gene121	283	271	277	289	309	289	330	318	309	283	283	300	326	283	309	271	294
gene122	330	326	330	314	326	294	330	337	318	294	294	304	314	289	309	294	304
gene123	220	264	300	240	240	283	289	271	277	277	283	283	283	289	256	240	289
gene124	314	271	318	309	309	289	333	294	314	304	326	326	322	309	330	300	294
gene125	110	69	161	208	248	220	195	139	161	0	139	195	220	179	161	139	139
gene126	374	309	283	240	256	230	230	240	256	230	271	277	271	240	230	220	264
gene127	139	69	69	69	69	0	0	0	0	0	0	0	0	0	0	0	0
gene128	69	0	0	0	69	69	69	69	69	0	0	0	0	0	0	0	0
gene129	289	289	309	289	289	277	304	300	289	300	277	289	289	271	283	220	289
gene130	139	69	0	69	139	139	139	139	69	0	0	69	110	0	69	0	0
gene131	333	353	333	294	314	309	343	318	314	300	283	277	294	304	337	309	264
gene132	465	484	520	473	512	458	506	480	453	563	525	507	467	514	527	514	523
gene133	139	69	110	69	110	69	110	69	110	0	110	69	110	69	69	69	69
gene134	326	330	337	347	404	358	383	383	364	356	374	376	361	361	371	356	383
gene135	326	289	326	330	374	314	369	343	340	371	358	364	340	364	393	343	366
gene136	289	110	69	161	161	161	195	195	220	220	240	256	256	230	248	179	248
gene137	208	195	195	208	271	256	256	271	248	195	208	230	248	195	195	139	195
gene138	161	69	69	110	139	139	139	161	139	69	110	161	179	110	110	69	161
gene139	309	347	333	326	350	330	333	337	318	318	309	314	322	304	322	314	294
gene140	353	369	364	356	358	350	364	381	364	300	333	337	369	350	371	358	364
gene141	161	179	161	179	161	179	179	195	195	139	161	139	179	139	161	161	139
gene142	264	309	340	300	283	264	333	289	264	389	337	309	256	294	337	283	318
gene143	195	195	139	139	195	161	161	161	161	139	139	161	161	139	139	110	139
gene144	179	69	139	110	139	139	161	139	179	69	161	161	179	161	161	139	139
gene145	326	264	264	248	283	283	304	300	309	304	318	333	309	300	322	271	333
gene146	471	465	478	452	498	423	485	458	434	548	496	488	444	492	515	489	502
gene147	369	391	369	347	376	347	369	374	353	333	343	350	350	343	343	326	364
gene148	139	69	69	110	161	161	161	161	161	110	139	161	161	110	139	69	161
gene149	161	161	139	161	179	161	195	179	161	110	139	139	195	161	161	139	139
gene150	0	69	69	69	110	110	110	110	69	0	69	69	110	110	69	0	69
gene151	264	161	161	179	195	195	195	208	208	230	220	208	208	179	179	139	208
gene152	381	322	333	340	353	309	358	333	330	264	340	322	340	347	326	309	350
gene153	139	110	69	139	139	110	139	139	161	0	139	139	195	139	139	110	69
gene154	179	264	179	230	195	220	248	195	179	69	110	110	179	179	161	139	69
gene155	208	248	264	220	208	220	240	240	240	208	256	240	248	230	220	208	230
gene156	309	220	326	277	326	264	304	294	300	337	340	353	314	294	289	230	337
gene157	347	289	358	330	337	294	322	326	330	358	356	353	343	326	333	300	343
gene158	264	139	161	179	195	161	161	161	179	161	195	195	195	110	139	110	161
gene159	240	208	220	230	230	220	220	220	220	179	179	195	230	179	195	139	208
gene160	240	161	110	161	161	179	195	179	208	179	208	220	230	179	208	161	195
gene161	300	277	271	283	271	264	309	277	277	240	248	256	271	240	289	248	256
gene162	277	230	195	256	277	248	294	300	271	230	230	240	248	220	256	248	277
gene163	161	139	69	69	69	69	69	69	69	0	69	69	110	0	0	0	0
gene164	374	406	444	411	429	401	436	406	385	460	441	436	403	436	466	442	441
gene165	448	462	503	487	503	447	493	454	426	471	492	489	465	519	537	524	474
gene166	347	356	395	371	395	366	411	366	369	395	376	374	383	378	401	364	366
gene167	395	340	358	364	381	337	374	361	343	318	378	364	369	389	387	356	430
gene168	69	139	69	69	69	110	69	110	69	69	0	0	69	69	69	69	0
gene169	195	139	161	139	195	208	230	195	220	110	179	179	208	179	195	179	179
gene170	277	161	240	208	240	208	256	220	230	208	248	256	220	230	240	179	264
gene171	230	179	277	264	283	264	294	256	248	240	271	289	271	220	240	179	240
gene172	322	248	220	230	248	230	240	256	256	230	248	256	264	220	240	195	248
gene173	417	374	408	399	409	364	399	381	381	395	399	399	393	383	408	369	408
gene174	277	208	179	179	179	179	161	195	208	195	220	240	248	179	179	161	195
gene175	110	110	110	139	110	139	139	139	139	110	110	139	195	139	139	110	110
gene176	300	314	283	294	300	283	340	314	326	289	300	289	333	300	322	318	289
gene177	419	443	469	442	462	425	473	439	425	506	475	461	441	469	501	488	462
gene178	69	179	161	110	110	110	110	110	110	69	69	69	69	69	69	69	69
gene179	361	371	369	356	404	371	404	378	371	369	374	374	366	383	389	374	385
gene180	343	277	330	318	364	326	366	343	340	347	364	378	350	358	361	356	381
gene181	326	248	300	318	337	318	343	337	326	248	314	326	337	283	304	271	309
gene182	195	110	69	110	139	161	139	161	179	139	161	179	195	139	161	110	161
gene183	139	110	139	161	161	220	283	289	294	179	195	161	208	179	240	230	208
gene184	248	220	139	110	110	139	139	139	161	139	139	161	179	179	179	179	139
gene185	271	208	256	208	179	161	161	161	161	110	161	179	220	208	208	195	208
gene186	425	409	426	419	456	383	438	419	393	474	438	430	403	434	453	428	432
gene187	264	220	220	240	256	220	179	208	208	161	179	179	179	161	161	161	161
gene188	69	0	0	69	69	0	0	0	0	0	0	0	0	0	0	0	0
gene189	356	277	220	240	248	240	240	271	300	318	318	326	314	289	300	277	350
gene190	322	264	161	139	161	161	179	230	256	248	277	277	271	220	240	208	271
gene191	350	309	248	179	139	110	195	314	340	343	330	289	264	195	230	264	314
gene192	208	264	240	220	230	240	256	264	248	220	208	220	240	179	240	195	208
gene193	179	110	69	69	69	110	139	139	139	139	161	179	208	110	161	110	161
gene194	195	69	179	179	208	195	195	208	208	139	161	195	208	161	179	139	179
gene195	264	277	256	264	277	248	283	271	271	220	230	248	264	248	256	248	230
gene196	240	195	161	179	195	195	230	220	220	161	161	179	208	139	179	139	139
gene197	139	110	0	69	69	110	139	139	139	0	69	69	139	69	69	0	0
gene198	139	110	0	69	110	110	110	139	110	0	69	110	139	69	69	0	69
gene199	294	283	256	289	318	283	314	318	314	289	277	271	271	240	289	256	277
gene200	428	419	378	353	304	289	277	304	318	277	277	256	248	230	264	271	333
gene201	230	289	358	309	230	230	179	161	208	230	248	271	248	195	195	161	179
gene202	330	385	411	326	330	326	289	248	304	383	406	371	337	318	300	294	333
gene203	283	220	195	110	69	69	0	0	69	0	69	69	69	69	0	69	69
gene204	361	369	423	383	404	358	366	343	343	353	395	403	371	343	337	318	326
gene205	289	256	240	240	277	256	271	289	277	230	240	256	264	220	248	220	256
gene206	240	195	179	195	220	195	208	195	179	161	139	161	161	161	179	161	139
gene207	322	343	361	366	385	353	387	383	358	326	371	369	378	369	399	361	366
gene208	322	378	356	356	404	364	391	397	369	387	374	369	364	366	378	343	369
gene209	179	195	161	195	208	220	208	220	220	161	195	195	230	179	179	208	161
gene210	441	462	466	436	451	429	456	437	419	443	443	430	430	436	464	463	444
gene211	220	220	230	240	248	264	240	240	289	347	343	300	289	283	283	314	340
gene212	428	413	447	428	463	399	445	428	409	500	453	453	422	444	466	436	454
gene213	294	289	314	309	337	300	326	314	309	256	283	294	314	289	300	264	264
gene214	256	179	179	240	264	230	220	220	208	161	161	195	195	161	161	139	161
gene215	289	289	343	333	322	304	322	318	314	271	309	322	318	271	283	264	264
gene216	330	366	430	408	371	333	309	289	289	374	414	413	383	340	337	283	318
gene217	230	283	358	337	289	256	230	220	220	294	343	347	322	264	256	179	230
gene218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene219	347	385	369	283	271	333	417	416	391	417	374	330	304	350	411	425	403
gene220	333	426	461	426	399	369	426	425	420	478	449	428	422	441	483	474	460
gene221	248	208	208	230	271	240	264	294	271	256	240	240	240	240	240	208	230
gene222	347	289	277	300	304	289	340	314	322	294	318	330	330	300	337	289	309
gene223	248	220	220	208	161	161	179	179	208	139	139	161	195	139	161	110	139
gene224	220	208	208	195	179	195	139	195	208	161	179	195	195	110	161	139	179
gene225	300	289	248	277	271	264	283	300	283	240	264	264	264	240	294	264	277
gene226	69	110	69	69	69	110	161	161	139	69	110	69	139	69	110	69	110
gene227	220	208	195	195	179	179	139	139	139	69	69	69	110	69	110	161	69
gene228	383	413	449	417	420	401	444	409	397	448	428	414	408	445	467	451	425
gene229	220	139	195	179	195	161	179	179	195	139	179	179	195	161	161	139	161
gene230	208	110	110	139	161	139	161	161	161	110	139	161	179	139	110	69	139
gene231	406	376	387	391	411	371	403	395	383	408	397	403	385	374	406	374	391
gene232	248	179	208	240	195	208	220	230	240	179	208	230	256	195	220	195	208
gene233	389	358	358	353	358	343	374	374	364	391	383	385	361	358	391	353	416
gene234	230	240	248	264	314	289	264	294	264	230	256	277	283	248	240	220	240
gene235	69	69	110	110	110	110	110	110	110	110	110	139	139	110	139	69	110
gene236	208	179	110	69	110	110	110	161	161	0	69	69	110	0	69	0	69
gene237	161	110	0	0	0	0	0	0	69	0	0	0	0	0	69	0	0
gene238	425	455	479	436	475	429	469	444	416	534	477	454	425	470	504	497	483
gene239	304	195	220	230	283	256	271	256	277	283	304	322	294	289	289	240	309
gene240	391	376	391	393	428	374	409	393	383	393	391	397	383	378	395	374	383
gene241	330	277	264	277	309	289	314	304	318	314	318	330	318	304	330	264	340
gene242	208	139	161	208	256	240	240	248	230	208	195	220	240	208	220	179	208
gene243	0	0	0	69	0	0	69	69	69	0	0	69	69	0	69	0	0
gene244	314	208	179	220	240	230	220	240	264	230	277	277	283	220	240	230	256
gene245	333	356	343	340	374	326	366	381	358	383	364	366	350	347	378	350	371
gene246	208	110	161	195	248	248	256	248	248	139	208	220	256	220	230	195	208
gene247	318	264	256	240	230	230	248	248	256	240	230	248	264	220	271	208	248
gene248	161	139	110	139	161	220	256	283	277	161	161	161	208	195	230	240	230
gene249	179	69	69	69	69	161	195	208	208	161	179	179	208	139	179	195	195
gene250	220	248	240	208	179	240	256	220	248	248	240	208	230	179	220	208	208
gene251	294	333	347	304	300	314	340	326	326	309	294	294	314	318	333	318	289
gene252	403	385	419	409	436	387	434	413	401	413	414	419	404	419	429	397	420
gene253	208	139	179	208	208	179	195	195	195	195	230	264	271	240	256	240	264
gene254	139	69	69	110	110	110	139	139	139	69	110	110	161	110	139	110	179
gene255	110	0	69	69	139	139	139	110	110	0	69	110	139	139	110	110	139
gene256	256	161	220	220	256	230	264	248	248	208	220	248	230	220	230	179	264
gene257	391	371	387	387	409	364	404	393	387	385	383	391	381	376	411	371	399
gene258	264	264	220	240	277	248	240	256	248	208	208	220	230	195	220	195	220
gene259	161	161	179	208	230	220	195	195	161	139	139	179	208	161	161	110	110
gene260	208	195	139	139	110	139	69	179	240	208	220	179	195	69	110	139	195
gene261	294	326	256	271	309	337	340	322	343	387	404	374	347	330	330	322	364
gene262	304	340	369	333	314	333	353	326	314	304	337	326	322	300	309	309	277
gene263	69	110	179	161	110	161	161	110	110	110	161	161	179	139	139	110	69
gene264	330	347	417	416	449	395	432	406	393	425	432	444	417	432	426	403	409
gene265	445	439	449	444	474	414	461	442	434	473	454	464	433	445	480	450	463
gene266	322	294	309	304	304	294	322	322	309	304	309	314	300	283	314	277	309
gene267	110	69	69	69	0	69	69	69	69	69	0	69	110	0	69	69	0
gene268	271	195	139	110	110	139	110	110	110	110	110	110	139	139	139	139	139
gene269	333	300	330	333	343	314	330	322	326	309	330	340	333	300	318	283	300
gene270	326	300	283	294	333	304	326	318	309	283	271	294	309	289	304	294	304
gene271	408	378	358	369	397	361	389	391	381	381	383	383	376	371	371	374	389
gene272	110	0	0	69	0	69	69	110	110	0	69	69	110	69	69	0	69
gene273	179	161	161	161	0	139	139	161	179	110	139	161	179	110	139	139	139
gene274	69	0	0	69	69	0	69	0	69	0	0	0	69	69	69	0	0
gene275	454	411	461	436	492	406	455	438	413	535	475	472	425	457	484	441	492
gene276	208	110	69	161	179	139	161	161	139	69	110	139	161	110	110	69	110
gene277	256	69	69	139	139	139	69	139	195	161	220	220	240	208	220	220	248
gene278	179	110	69	139	139	110	69	69	69	0	0	69	110	0	0	0	0
gene279	337	361	409	393	391	376	406	374	361	358	366	374	378	369	391	376	374
gene280	304	314	304	289	304	283	314	304	300	271	304	300	304	294	304	304	300
gene281	371	399	426	385	411	369	414	401	374	509	438	423	376	430	454	420	453
gene282	0	69	0	69	0	0	0	69	69	0	69	69	69	0	69	0	0
gene283	374	409	429	395	437	378	439	399	378	500	441	428	389	426	473	456	403
gene284	248	195	230	208	220	195	220	220	220	195	208	230	220	161	195	139	208
gene285	401	383	385	389	411	371	425	403	393	409	417	416	401	406	436	409	411
gene286	195	161	139	161	179	195	139	195	195	139	139	161	208	161	161	139	161
gene287	208	220	195	208	256	230	230	240	230	208	208	230	230	220	220	208	208
gene288	240	248	195	179	179	208	240	283	277	220	240	220	220	161	208	208	240
gene289	256	208	179	195	161	161	195	195	220	139	195	179	208	139	195	179	195
gene290	161	240	195	161	139	179	248	300	304	264	256	208	208	179	240	277	264
gene291	248	300	309	283	220	277	304	277	283	230	283	277	304	283	300	300	264
gene292	393	414	429	408	404	381	416	385	385	401	416	401	401	437	447	441	404
gene293	283	220	179	161	208	230	230	264	289	277	304	314	300	283	264	264	300
gene294	343	322	322	337	322	318	343	337	337	283	304	318	333	304	330	294	314
gene295	179	195	161	179	208	161	110	161	139	179	179	161	179	161	161	161	161
gene296	248	161	110	161	139	139	110	139	179	161	179	179	179	139	161	161	139
gene297	179	179	161	179	139	195	195	195	208	110	161	161	208	161	195	179	139
gene298	304	358	337	318	333	356	376	369	364	378	369	356	358	369	385	409	378
gene299	230	208	195	230	208	179	220	220	220	179	179	208	240	179	220	195	195
gene300	110	69	0	0	69	69	0	69	69	69	0	69	69	69	0	69	0
gene301	110	161	110	110	69	139	139	139	139	69	69	69	110	69	110	110	69
gene302	161	195	139	139	110	161	139	139	179	139	161	139	179	110	139	161	110
gene303	369	300	304	294	314	289	289	264	283	309	289	309	283	294	277	271	283
gene304	230	195	220	179	179	179	179	195	208	195	208	208	195	179	179	139	220
gene305	139	110	195	161	195	139	161	161	161	161	161	161	161	139	139	69	139
gene306	110	110	69	69	69	110	0	139	139	110	69	110	110	0	69	69	110
gene307	256	283	195	240	300	289	283	304	271	179	220	230	240	208	208	208	208
gene308	69	0	0	69	0	0	0	0	0	0	0	0	69	0	0	0	0
gene309	139	110	179	195	179	179	195	161	161	110	161	195	220	195	179	161	69
gene310	220	139	161	179	179	161	179	179	195	195	208	230	230	195	220	161	230
gene311	240	220	248	240	277	248	248	256	256	248	256	271	256	220	208	195	240
gene312	139	69	0	69	69	0	0	69	0	0	0	0	0	0	0	0	0
gene313	318	264	271	294	326	309	322	318	309	248	277	300	294	283	294	264	314
gene314	283	220	208	240	240	240	248	248	256	208	230	248	248	208	248	195	256
gene315	326	309	294	300	322	322	330	333	322	314	318	326	309	314	337	294	353
gene316	300	326	309	314	322	300	330	337	326	330	318	309	309	309	318	271	322
gene317	179	277	256	230	208	256	264	256	264	139	195	195	256	220	230	208	195
gene318	289	371	356	318	314	330	347	340	309	248	271	264	300	283	294	304	264
gene319	300	350	326	277	277	322	330	309	309	333	330	326	304	322	337	337	347
gene320	314	179	195	240	271	248	256	248	256	240	248	271	256	240	240	230	264
gene321	220	139	161	161	179	179	161	161	179	139	139	161	161	139	139	110	139
gene322	179	110	110	139	139	161	139	161	161	139	139	179	161	110	139	69	161
gene323	195	208	248	240	248	208	195	208	179	195	230	240	230	179	179	139	161
gene324	208	195	161	179	208	256	220	256	240	179	195	195	256	220	195	230	230
gene325	397	378	404	406	438	393	432	413	404	414	414	422	411	406	422	404	408
gene326	161	69	0	69	110	110	69	69	69	69	0	69	69	0	69	0	69
gene327	264	256	195	220	220	179	110	161	161	110	110	110	161	110	110	110	69
gene328	230	179	161	208	283	248	208	220	195	161	208	179	208	208	195	161	179
gene329	309	322	289	322	314	300	330	322	322	271	309	314	318	300	337	309	314
gene330	220	240	179	161	161	161	110	161	139	69	110	110	139	139	139	110	69
gene331	220	240	220	220	208	230	230	220	208	139	179	195	220	195	220	230	179
gene332	139	69	69	110	139	139	139	139	139	69	110	110	139	110	110	69	139
gene333	0	110	110	139	110	69	69	0	0	0	69	69	69	69	0	0	0
gene334	69	69	110	179	161	110	110	139	161	69	69	110	110	69	110	69	110
gene335	110	69	139	161	110	110	69	110	139	69	69	69	110	69	69	69	69
gene336	179	110	139	139	139	110	69	69	69	69	0	69	69	0	0	0	0
gene337	294	277	271	289	264	264	304	294	277	248	294	309	289	248	289	240	294
gene338	179	240	240	230	195	240	240	230	230	161	179	195	230	179	230	220	161
gene339	110	69	69	69	0	110	69	110	110	69	69	69	110	69	69	110	69
gene340	389	397	389	389	417	374	408	393	383	403	391	401	383	406	416	425	403
gene341	161	110	0	69	110	69	69	110	110	0	110	69	110	0	69	69	69
gene342	371	381	381	383	399	369	387	395	376	366	381	376	366	364	378	364	378
gene343	69	110	0	110	179	195	208	230	208	139	110	110	161	139	139	139	139
gene344	0	0	0	69	69	139	161	179	139	0	69	0	110	0	69	0	69
gene345	69	69	0	69	139	161	195	195	161	0	69	69	110	139	110	69	110
gene346	195	208	195	195	161	208	179	195	195	110	161	161	208	161	179	179	161
gene347	333	374	387	393	395	393	429	391	378	399	406	393	399	425	448	449	419
gene348	208	208	248	230	230	179	289	195	179	240	248	208	220	240	294	230	322
gene349	361	314	318	333	350	314	350	326	318	256	330	309	322	326	326	294	350
gene350	333	309	256	256	230	208	208	195	208	139	161	195	220	208	220	195	179
gene351	110	69	195	139	69	69	69	0	69	161	208	195	139	69	69	0	69
gene352	69	110	179	110	69	69	69	69	69	69	179	179	161	0	69	0	69
gene353	230	195	110	220	256	277	283	318	326	277	318	340	361	330	350	356	337
gene354	0	69	0	69	69	69	69	69	0	0	0	0	69	0	69	0	0
gene355	139	110	110	69	0	0	69	0	0	0	69	69	69	0	69	0	110
gene356	248	343	347	361	378	361	369	343	318	294	340	337	366	383	401	406	381
gene357	283	340	330	318	309	326	347	326	314	277	314	309	318	318	330	330	294
gene358	208	139	179	179	208	208	230	220	220	139	195	220	208	179	179	161	208
gene359	406	347	343	330	318	300	304	318	314	309	333	353	337	314	314	309	330
gene360	289	230	240	289	330	294	283	289	283	248	271	294	304	289	283	271	289
gene361	208	179	161	195	179	220	248	256	264	220	208	195	208	139	208	195	220
gene362	356	248	179	220	240	220	195	248	271	289	340	326	300	294	294	277	340
