734 69
probeset	cond0	cond1	cond2	cond3	cond4	cond5	cond6	cond7	cond8	cond9	cond10	cond11	cond12	cond13	cond14	cond15	cond16	cond17	cond18	cond19	cond20	cond21	cond22	cond23	cond24	cond25	cond26	cond27	cond28	cond29	cond30	cond31	cond32	cond33	cond34	cond35	cond36	cond37	cond38	cond39	cond40	cond41	cond42	cond43	cond44	cond45	cond46	cond47	cond48	cond49	cond50	cond51	cond52	cond53	cond54	cond55	cond56	cond57	cond58	cond59	cond60	cond61	cond62	cond63	cond64	cond65	cond66	cond67	cond68
AT4G15210	0.53385	0.33077	0.26455	7.76800	-4.01770	-1.82216	-0.29773	-0.28295	-0.23104	2.66895	0.60700	-0.31744	-0.23851	-0.36811	-13.48773	-3.61690	-0.74616	-0.45839	-0.74253	2.72259	-1.18855	-2.49729	-1.86670	-1.02771	-0.64185	-1.92876	-0.74873	1.63418	-0.15994	0.24217	-0.34990	-1.00000	0.71823	-0.36758	7.27254	0.52441	-0.43068	14.20670	0.88847	-0.63093	-0.57572	0.65002	-2.40942	0.24393	-3.45415	7.61936	4.95948	-2.06004	-1.56880	0.35255	1.07194	2.40942	-0.66025	0.79373	-0.69417	-1.48972	-1.82652	-1.38052	-0.86172	0.41864	-1.35692	-6.81007	0.38685	0.36950	-0.84064	-0.85558	-0.21873	-0.16085	3.10422
AT4G15560	-1.55982	-3.70581	2.87877	3.22049	-6.95841	-5.45345	-10.61309	1.82468	7.40213	-496.46659	-2.63096	6.79280	-1.67169	5.69348	53.10443	90.78946	-5.72243	-6.20684	-11.43636	-8.77947	-4.19445	-8.54819	-3.21935	-28.02463	-2.42405	-4.59802	-20.84231	-38.18112	-0.68820	-2.22379	-2.88317	-3.34774	1.98696	-7.98262	2.89791	-1.61206	-1.42652	-2.06996	5.16848	-153.73791	4.82051	-1.80397	-3.11136	-2.96338	-7.27912	4.16838	-182.52854	-2.36365	-1.11331	-3.57387	-2.73013	-2.43028	-3.63242	3.26493	1.37884	-2.90486	-0.91957	565.95460	8.91190	2.44067	3.96858	-2.29407	-1.07466	-2.08290	-2.48582	-1.87927	0.46292	0.54906	-5.73445
AT4G14210	-1.37507	-4.83729	1.64708	-8.55503	10.18811	-2.30035	-36.30248	3.85829	6.91861	-56.25561	-4.44237	4.75286	-4.77665	-16.02040	2.29468	3.61603	-7.98999	-39.28282	10.81081	-32.27149	-4.70926	-4.12737	-0.92793	-9.04377	-4.96837	-5.07893	236.15507	-7.48225	-0.72972	28.95402	-2.55943	-4.21402	48.40857	6.38248	-3.05729	-39.70477	-19.10218	-42.53519	1.75692	4.31242	3.68138	-8.02572	3.77936	-2.97467	-207.73602	-3.02474	-3.98073	-3.24698	-3.97987	49.99565	1.48611	4.38040	-8.93534	0.22159	0.22578	-8.54803	0.27815	0.26245	0.21738	0.21079	-6.64118	2.99585	-1.10846	-2.41599	-2.52661	-16.44331	-6.54364	3.75961	-1.96614
AT4G14910	-1.87401	-5.13883	1.22367	-4.37729	1.66987	7.73929	-2.84651	-10.97959	-12.55457	-2.27203	5.00305	-2.67648	2.01751	2.06879	24.05939	8.24655	-59.35583	-8.45611	-20.60343	5.60735	-9.86223	-15.54543	-1.87927	27.47929	-6.60049	-61.45840	-17.59472	15.79544	-3.06195	4.85534	-2.37259	23.46336	-8.03052	-1.72512	19.51596	-1.54981	-1.34340	-4.46673	6.21298	4.12831	14.15534	-222.50007	3.96811	53.33307	13.26382	2.07559	-9.46270	-1.27913	14.50712	-2.39328	2.15290	2.30843	2.81847	0.86297	0.60342	-7.69293	2.21245	1.69205	0.48699	0.59273	-2.77149	1.02417	66.78147	3.29323	4.74297	-2.50457	-15.40660	-1.09455	-6.14305
245291_at	-1.21621	-4.49886	3.46125	1.82610	-6.05843	-12.59371	0.75879	0.79511	0.82548	-11.02315	-5.67722	2.10567	18.59885	-0.59484	-1.69821	-1.46173	3.19679	-5.78401	-2.28865	3.44146	-6.20159	-4.33861	1.18351	-18.86862	-18.24189	-13.27862	9.61255	3.89952	0.55048	-1.17004	4.66452	-1.26871	-3.93244	-12.90302	-0.88854	-0.98209	-2.26710	-1.06730	3.83759	3.52535	-4.92553	-5.09955	-6.24656	2.41423	7.43000	-11.33545	18.33886	-29.25934	-4.06403	35.89983	-1.11848	-5.04787	-0.84890	0.45613	0.45177	-2.19139	0.74574	0.60473	0.43400	0.44386	-2.17010	0.80474	-2.80146	2.20398	58.98615	8.76710	-0.70115	-0.65797	-5.84981
AT4G17190	-7.04756	5.36057	-29.99061	12.85024	-15.69595	2.03970	10.95340	-32.48683	-12.25932	180.56462	1.08764	-2.43106	1.11879	-0.86336	0.74188	0.46765	-12.23228	14.70190	1.99429	-7.16443	5.18253	0.85036	0.76647	-7.65790	-5.23877	-1.90894	-3.50383	-3.03704	0.95430	1.70056	1.30830	1.70951	1.48236	1.67139	-1.23861	1.93987	3.39530	1.47758	-2.21947	1.61738	-2.80393	18.36622	2.68840	391.97463	15.72529	-2.51781	1.88724	-2.07239	-17.86205	26.45360	2.77920	2.30702	1.42184	0.36167	0.42577	1.05679	0.83147	1.19578	0.36067	0.46412	-4.16468	1.21399	-1.89131	1.17674	-2.55490	-10.08434	-0.97356	-0.81877	-3.01347
AT4G17090	2.71195	14.85695	0.62294	-0.41630	-0.78039	-0.74783	2.03771	-3.97553	-20.14879	5.68618	2.74784	26.93709	-3.14338	1.60990	2.84958	1.88247	5.02956	-6.56919	2.18736	-1.43074	-0.79719	-1.00000	-0.37440	-12.99343	-2.61327	-8.87031	-351.91071	-3.08721	-0.26415	-33.82440	-1.96718	-1.83563	-5.74863	-1.11776	4.25271	-0.97979	-0.97421	-2.00812	-0.49236	1.56660	3.05408	1.24042	1.04800	-2.45215	-0.30934	-1.72800	27.55115	1.23322	-28.48694	1.85770	-9.67326	1.16966	2.92394	-174.32629	1.68755	-2.33940	-11.29475	1.29716	-2.20401	-4.01027	-1.36979	116.59691	9.67682	-1.52512	6.29615	-0.73780	5.36443	-0.44954	9.64106
245441_at	-4.61592	5.46359	4.23373	-6.81007	-13.33096	6.09943	1.68023	1.51898	1.29743	20.69796	-4.77867	-4.51165	-1.99710	1.22454	-2.19324	-2.10427	-3.18123	-5.07519	18.78216	4.10937	-56.66408	2.00278	8.75537	4.72123	1.57354	3.31504	-3.27601	3.72279	-1.55935	-4.45246	2.53988	-15.97839	2.13082	-1.58299	0.81937	-4.61041	19.75267	2.09797	0.78720	0.87030	2.19015	5.62057	1.72173	0.90641	-4.77433	1.67719	0.87089	-5.98408	2.11445	1.18650	0.89890	2.22921	-1.73724	3.84917	1.16644	-43.22175	4.75449	1.97068	1.09078	0.66844	1.68904	7.20139	-3.61997	2.93061	-4.04035	-0.60475	-1.26774	-0.58869	-18.16233
245443_at	-4.99254	80.75115	1.39117	3.45415	1.82037	-1.98396	-0.60530	1.34275	4.20713	2.05059	0.56137	-0.50000	0.80133	1.21382	3.78192	-1.01676	-1.70951	-1.92725	-6.39380	-4.76365	2.07845	-0.70999	-53.71816	-0.44229	-1.07629	-0.82505	-1.12344	-1.09952	-0.41407	4.84377	-0.49296	-1.34997	3.33823	-0.47905	-14.32225	0.65156	-0.47218	-0.49152	0.24620	3.91762	1.80982	2.46310	-0.31133	0.73465	0.30235	0.98854	-2.08062	0.89871	-0.55648	-2.31634	0.33333	0.85856	-0.95337	-0.37419	0.52493	0.91311	0.72888	1.68248	1.02941	0.73476	1.56466	1.10516	-2.30969	1.16121	11.26009	-1.68884	1.88496	-34.65620	1.21296
AT4G16740	-0.68078	-4.89006	-2.22868	-1.40490	0.51550	-6.10180	-1.13199	25.12499	-6.84310	-5.09514	0.98149	0.97552	79.36485	0.62431	-7.31108	1.51977	-1.07665	0.96197	-61.68945	-2.42033	0.70972	-0.45487	1.49718	-36.15807	3.14198	1.96078	-17.90407	1.51057	1.57697	-1.41364	2.06331	1.55062	-6.74700	-3.14568	1.36913	21.64325	4.76111	1.91416	-0.50216	1.94336	-0.63543	0.71681	0.35473	4.33118	1.82804	-0.56640	1.76662	0.99286	0.33625	12.32487	-1.35163	-0.56640	-12.32487	-0.91502	-1.89209	32.10407	-1.01820	-1.82008	-2.25791	-4.60817	-6.48420	1.27021	-7.16582	-6.71757	122.34015	-2.04096	2.54896	-1.05477	-12.07344
245446_at	-7.25272	-2.17979	1.05303	1.27907	-8.58671	-2.97458	1.49444	0.85455	1.18495	5.81779	-3.26051	3.39463	8.31295	64.70962	10.13710	0.00000	7.81204	6.87314	-3.08809	7.93261	-2.55084	-5.31778	0.80378	-6.24908	8.57410	-73.74262	-3.38773	-28.64366	0.47862	2.10906	-18.55968	3.20311	-2.06613	-1.02627	-0.86704	-2.12067	-0.81862	-7.23267	2.17886	-4.13964	7.03926	-1.14797	-0.81216	-4.14602	-47.30645	5.80112	-2.14111	32.13108	-0.97540	-5.17117	4.48146	1.64549	2.76593	0.34583	0.62886	15.79132	1.04293	1.22336	0.38640	0.57279	54.84454	4.71955	-1.83627	-5.06410	14.22029	78.28661	-0.71071	-0.63720	-1.66618
245447_at	7.96617	-0.78834	1.42584	-1.02669	0.42396	-0.30338	-7.42669	0.98125	-0.55755	-9.09315	-0.38685	-0.38487	-2.40942	-1.07608	-151.45239	-1.70951	-6.34754	0.88552	1.51754	0.00000	0.85476	1.08460	0.56192	5.40447	-0.37552	-0.90056	-0.55097	13.51341	1.45796	1.20471	0.80391	-0.60833	0.72220	-1.07991	-4.59577	0.49507	1.78754	-0.73613	1.23861	-0.80838	-0.47271	-0.47630	-2.27515	6.92569	4.03344	-0.87912	1.44534	1.17925	-0.83119	-2.26977	-10.74005	0.63093	-0.68846	0.94578	13.16676	-1.15107	-1.86210	0.88465	0.96295	0.72700	-0.39052	-0.74007	0.33265	1.00000	0.37769	0.30000	1.53356	2.98521	-0.74995
AT4G16590	-6.99304	0.61955	3.21617	-4.79417	-2.30969	-1.34599	-9.35321	-1.39304	-0.91169	-3.96798	5.99171	-99.11964	0.97799	0.63954	1.25131	0.92307	-9.56991	-167.39480	-3.86644	-52.56290	-41.58787	-1.93153	7.12389	-1.68569	-3.31715	3.70524	-1.92133	-23.91190	-1.82901	2.16290	1.63397	-2.02591	1.13226	-6.26081	-65.03969	125.11275	-52.56290	-5.41547	0.74188	5.94046	-0.40455	2.50403	0.65316	0.49657	-2.57041	4.02125	32.64601	-2.69172	2.17092	-0.89648	1.33329	-1.12356	-1.18790	1.48500	5.69989	2.64541	-0.66648	1.70951	0.96447	1.14951	-11.15608	1.40382	-3.55998	0.87697	-0.77061	-1.01144	3.65148	1.79144	-0.64387
AT4G14940	-0.85967	-4.05660	-38.46863	7.43088	-5.42950	-1.19719	-0.87912	1.00000	-1.52000	43.66736	1.60709	2.21206	3.09178	1.50346	4.61911	4.88716	-1.52662	60.64972	-11.10714	-4.67017	2.88074	11.16379	1.40229	-4.37634	-3.96029	-4.88070	-7.85057	3.57310	2.36289	3.90564	7.45040	1.10537	-10.74005	7.83495	2.41479	6.55106	-9.91824	21.19242	3.72731	0.94351	-1.29716	1.94885	6.71309	1.54586	2.30761	1.06663	3.37608	3.46996	2.34531	6.92569	1.85669	0.78606	11.80677	-2.74813	3.19786	-2.05368	-5.37356	-2.50123	-8.01952	3.12413	6.88605	-1.09850	-1.85910	1.62775	5.51481	-0.74121	1.55314	-0.76034	104.31827
245627_at	-1.87540	-0.89685	0.39145	-1.70951	-0.19803	-0.40175	-0.38685	-0.82888	-0.23756	1.66702	-6.83263	10.51430	-1.23992	1.00858	1.36531	1.33848	-0.33967	-0.26033	0.87492	-0.42014	-0.25564	-1.70951	-0.32355	-0.56045	-3.94078	-0.42208	-0.61264	-0.56045	-0.22598	-0.56640	-1.00000	1.88496	-0.47905	-0.66556	1.35692	-1.99005	-0.78118	0.39960	-1.05052	-0.24563	0.61464	1.70951	0.39131	0.26380	0.91037	0.67215	0.34799	1.15221	-1.38415	0.29039	-0.31790	-0.29247	-0.60244	-0.53691	-0.43068	-1.94336	-0.81007	-0.57572	-0.50000	-0.93110	-0.26825	0.50534	0.36381	-1.35692	0.28391	0.31028	-0.18218	-0.17226	-10.14571
245637_at	-12.01462	-0.67049	-0.99824	-2.25504	0.90111	1.07981	-0.50000	0.96505	3.33823	3.98932	28.53316	7.10932	0.85728	-0.67788	-5.36011	-1.60541	0.82574	0.66459	1.15163	-10.70556	-5.09407	-2.09751	-0.61531	3.81856	9.46833	4.40240	5.41363	8.30338	-0.42801	-2.93267	-2.20152	-3.26737	3.41980	-6.42300	-4.51157	4.64183	17.20147	-6.96402	-3.48827	1.41575	-11.25085	1.91357	1.04872	-1.12310	-6.46036	126.36908	1.17555	-34.25561	0.67252	-20.70154	-1.34005	-1.34197	-3.14184	-0.42647	-2.67398	-2.44859	-4.40270	-28.99528	-1.40339	-1.80487	4.01353	-1.19407	-1.16956	2.07791	-0.96286	-1.03172	0.60432	0.40196	-2.75014
245689_at	0.41407	0.38876	0.17313	0.31305	7.96617	0.48845	-0.86805	1.14355	6.57881	0.46085	-0.53348	0.43678	-0.63093	0.45421	2.06004	0.72542	-2.20989	-0.55329	-0.56984	1.31754	-5.30659	-0.37887	0.72259	0.84794	0.73775	-1.77336	-0.78118	-3.57005	0.87196	0.55705	0.55797	0.74792	0.86172	-2.21896	2.20989	0.33573	1.61361	9.12205	-2.96705	-7.78121	91.84157	-4.22864	-2.07183	1.04766	8.65972	-0.43678	-0.33819	9.51171	-2.78333	206.90424	0.23420	0.54627	0.45982	-0.45436	-2.20249	0.30280	-0.83847	12.94616	-0.57572	-0.27782	-10.19063	-0.36473	-0.46468	-1.44534	-2.40942	-0.92764	0.69786	-4.03344	-4.07976
AT5G04230	0.96134	13.69829	0.70897	-2.57646	2.06004	-12.37280	-0.79742	1.46764	1.73838	-22.21742	-2.49132	3.41200	-1.13039	1.26237	4.02682	-2.81520	10.87873	6.38609	12.47344	-7.45238	-3.15119	-3.13578	-0.65245	-2.10105	-6.27045	-1.16767	32.86026	-4.54413	-0.32906	4.70600	-3.20681	272.06012	5.08317	-53.14053	2.42016	3.91010	-3.41733	-6.11626	2.12638	-3.85525	-1.68218	-3.97762	309.49009	1.81671	3.75620	4.61592	-15.71381	-9.11597	-1.08902	-1.67639	1.27231	5.70805	12.26097	-0.71960	-1.01291	-1.16636	-1.26606	-1.42767	-0.74918	-2.39300	2.34959	321.96674	-0.91615	-5.47267	-2.79449	-1.13730	2.58012	1.93256	2.22353
AT5G04140	-0.67494	-8.59209	1.59647	-2.37578	-1.41372	-1.01761	-12.75707	0.31187	0.25047	3.66424	3.69213	1.60242	-960.70195	-1.37340	-3.50430	-1.68554	7.17642	-8.22481	3.16955	-7.60832	-3.03983	-12.77749	-0.25625	-6.01609	-3.16999	-4.15540	28.93556	-6.04012	-0.13591	-1.85096	-1.27954	-1.69333	3.23315	-1.13826	1.54957	-0.92669	-0.79732	-1.20467	4.68892	2.53179	-3.46120	-6.98782	1.72135	-2.87788	-8.22947	-15.81989	4.95287	-1.45421	11.79206	-27.47238	11.64482	-2.93701	-1.12960	0.56873	0.37129	-2.43415	1.36834	1.03202	0.43651	0.37129	0.59886	5.17213	-1.09352	-0.93170	-31.53693	-2.20502	-25.15965	-0.35862	-1.49865
245725_at	-7.96617	-2.75809	1.21239	4.10658	1.23861	0.72948	1.13055	1.35692	0.43678	-110.78766	0.96347	-5.59992	-0.39325	0.32780	10.04665	3.10628	15.74489	1.53615	-3.29435	-3.08681	21.00912	-1.30187	0.44110	-359.39670	-12.05505	-1.93887	-4.57267	6.54293	0.27447	0.43487	0.25702	1.20471	4.84377	0.30213	0.81807	9.35321	0.94438	1.88496	-0.62430	-0.25818	-0.51482	-7.11398	-0.85794	-3.92093	-1.73425	-1.05087	-0.58566	1.59000	4.38895	2.33914	-5.17804	8.10896	-2.58251	6.92569	0.75474	-2.73851	-0.63700	-4.34772	0.76174	0.55801	-10.76396	-0.73853	-8.65972	1.16939	1.99005	-0.32250	0.00000	-0.68209	1.17925
245745_at	-0.90767	-3.09797	-1.70951	0.75647	-1.21912	7.36544	0.58826	0.69803	0.55977	2.35479	0.54440	2.77858	0.69378	-15.01342	16.13748	12.32838	-4.96036	-17.21805	-7.67150	8.93035	-3.51890	-8.11445	-0.37496	-2.72911	-1.77372	-2.72911	-4.79216	-2.12405	-0.22218	-3.46263	-5.21660	-4.61333	1.56433	-1.63451	2.37885	11.80547	-1.52522	-4.02982	0.33201	0.17035	0.29828	-1.04646	2.13776	-0.28098	0.41407	0.31350	0.27894	-3.05274	4.40974	-0.49782	0.27188	0.39145	0.28098	0.26632	0.25081	-4.52040	-1.56880	-1.23861	0.40974	0.44702	-0.10034	4.40694	-1.95224	-5.42412	39.85496	-9.45989	-1.10846	-2.13548	-1.48614
AT1G32200	-0.73683	-1.81986	1.12437	0.68505	-2.76990	-6.42279	0.79996	0.67597	0.88861	-3.60861	1.45288	-61.36326	-14.53766	-5.84215	4.53595	-2.84299	5.73347	2.60975	2.98121	-6.33009	-5.90008	-4.20654	-81.30567	3.09137	-12.18530	386.42945	3.79556	6.92924	-8.23014	9.88795	4.08398	-9.47381	2.31962	2.05331	6.53129	2.70339	3.63788	5.59444	1.10259	1.02802	1.96714	23.85689	5.68667	3.01207	10.94113	-4.46484	2.59803	-1.95103	-31.60455	-2.76420	2.07040	3.21058	-5.11032	0.43141	0.48020	-4.82078	-0.59546	-0.41743	0.39730	0.36411	-1.63234	-2.18175	-0.84274	-3.02911	-4.65850	-4.30761	1.00814	1.01168	-4.17765
AT1G58440	-2.04651	-2.62087	2.61148	2.99355	2.59615	1.56990	-1.19732	4.58879	3.01449	-3.26547	-1.01348	20.88235	-105.64680	2.99989	2.55965	3.67263	-2.46443	26.09342	-15.38174	-1.24968	-3.44810	-2.35824	-2.16308	3.02926	6.78966	5.07103	-7.57340	5.14022	-4.20889	5.76672	29.74423	-1.55359	-7.52613	-3.09219	-2.94128	-8.92307	-3.26915	-1.48207	-2.78769	-1.51001	-6.38474	-3.25170	-2.30401	-2.37965	13.91376	-23.36050	-3.72520	484.16322	-1.42642	-4.65589	160.92542	4.44460	3.77696	-1.14449	-7.75507	-2.94330	25.54184	4.35585	-2.16837	-1.66050	26.22254	-2.62262	-1.87839	1.96016	-4.07865	5.67097	8.77530	2.53311	-4.17740
AT1G48850	15.07116	1.67057	-5.53764	-33.93445	9.58755	-1.97613	2.62651	-31.08801	-8.71767	4.02467	-1.51130	3.18671	-1.32356	-2.01989	-1.72637	4.73425	-3.78471	-3.48435	-10.39853	4.12504	2.50854	1.93527	0.80429	7.18183	3.56921	16.36769	-4.36207	-4.65501	0.49694	1.09949	2.01655	-9.17038	1.10646	1.00084	-4.58501	0.82728	1.28187	-3.40912	3.64016	-7.05647	3.14431	-2.85094	-29.94740	-18.45287	-2.13820	-30.81985	-0.92217	10.98020	-1.81418	-1.49861	1.38463	1.04271	1.20242	-1.16995	-1.41432	-226.19685	-24.12131	-6.87553	-1.15223	-1.28610	21.26013	1.17486	0.88698	3.80521	1.89572	1.19555	-0.94073	-0.93084	5.67619
